modelName,AverageBleu Score,bleu_Score,model_loc
,,0.6906165147618178,SavedModel_reek_v2/model_v2_batchSize_32_hidSize_512_dropPer_0.3_wordDim_1024.h5
,,0.6605531486752202,SavedModel_reek_v2/model_v2_batchSize_16_hidSize_128_dropPer_0.1_wordDim_1024.h5
,,0.6906165147618178,SavedModel_reek_v2/model_v2_batchSize_32_hidSize_128_dropPer_0.1_wordDim_2048.h5
,,0.1388888888888889,SavedModel_reek_v2/model_v2_batchSize_16_hidSize_512_dropPer_0.3_wordDim_2048.h5
,,0.6906165147618178,SavedModel_reek_v2/model_v2_batchSize_64_hidSize_512_dropPer_0.3_wordDim_2048.h5
,,0.6906165147618178,SavedModel_reek_v2/model_v2_batchSize_64_hidSize_128_dropPer_0.1_wordDim_1024.h5
,,0.6836941224526939,SavedModel_reek_v2/model_v2_batchSize_64_hidSize_128_dropPer_0.4_wordDim_2048.h5
,,0.41339500096755805,SavedModel_reek_v2/model_v2_batchSize_32_hidSize_1024_dropPer_0.2_wordDim_2048.h5
,,0.6529832922090464,SavedModel_reek_v2/model_v2_batchSize_32_hidSize_128_dropPer_0.4_wordDim_1024.h5
,,0.69333158395885,SavedModel_reek_v2/model_v2_batchSize_16_hidSize_128_dropPer_0.4_wordDim_2048.h5
,,0.5997696394920701,SavedModel_reek_v2/model_v2_batchSize_16_hidSize_1024_dropPer_0.4_wordDim_1024.h5
,,0.6906165147618178,SavedModel_reek_v2/model_v2_batchSize_64_hidSize_1024_dropPer_0.1_wordDim_1024.h5
,,0.6789690454650059,SavedModel_reek_v2/model_v2_batchSize_16_hidSize_256_dropPer_0.4_wordDim_2048.h5
,,0.6744191994403822,SavedModel_reek_v2/model_v2_batchSize_32_hidSize_256_dropPer_0.4_wordDim_1024.h5
,,0.6906165147618178,SavedModel_reek_v2/model_v2_batchSize_64_hidSize_512_dropPer_0.2_wordDim_2048.h5
,,0.5997696394920701,SavedModel_reek_v2/model_v2_batchSize_16_hidSize_512_dropPer_0.2_wordDim_2048.h5
,,0.6906165147618178,SavedModel_reek_v2/model_v2_batchSize_64_hidSize_256_dropPer_0.4_wordDim_2048.h5
,,0.6156372343939406,SavedModel_reek_v2/model_v2_batchSize_32_hidSize_512_dropPer_0.2_wordDim_1024.h5
,,0.6906165147618178,SavedModel_reek_v2/model_v2_batchSize_64_hidSize_512_dropPer_0.1_wordDim_2048.h5
,,0.6906165147618178,SavedModel_reek_v2/model_v2_batchSize_64_hidSize_1024_dropPer_0.2_wordDim_1024.h5
,,0.633325666681088,SavedModel_reek_v2/model_v2_batchSize_64_hidSize_128_dropPer_0.3_wordDim_1024.h5
,,0.6234072074437715,SavedModel_reek_v2/model_v2_batchSize_16_hidSize_128_dropPer_0.3_wordDim_1024.h5
,,0.6564191994403821,SavedModel_reek_v2/model_v2_batchSize_32_hidSize_512_dropPer_0.1_wordDim_1024.h5
,,0.1388888888888889,SavedModel_reek_v2/model_v2_batchSize_16_hidSize_1024_dropPer_0.3_wordDim_2048.h5
,,0.6906165147618178,SavedModel_reek_v2/model_v2_batchSize_16_hidSize_512_dropPer_0.1_wordDim_2048.h5
,,0.6784191994403822,SavedModel_reek_v2/model_v2_batchSize_32_hidSize_128_dropPer_0.3_wordDim_2048.h5
,,0.6906165147618178,SavedModel_reek_v2/model_v2_batchSize_32_hidSize_256_dropPer_0.3_wordDim_2048.h5
,,0.6803681914673974,SavedModel_reek_v2/model_v2_batchSize_16_hidSize_256_dropPer_0.3_wordDim_1024.h5
,,0.6171870804185644,SavedModel_reek_v2/model_v2_batchSize_64_hidSize_256_dropPer_0.3_wordDim_1024.h5
,,0.6906165147618178,SavedModel_reek_v2/model_v2_batchSize_32_hidSize_1024_dropPer_0.1_wordDim_2048.h5
,,0.6993415917495059,SavedModel_reek_v2/model_v2_batchSize_32_hidSize_128_dropPer_0.2_wordDim_2048.h5
,,0.6335506117254601,SavedModel_reek_v2/model_v2_batchSize_32_hidSize_1024_dropPer_0.4_wordDim_1024.h5
,,0.6906165147618178,SavedModel_reek_v2/model_v2_batchSize_16_hidSize_128_dropPer_0.2_wordDim_1024.h5
,,0.6564191994403821,SavedModel_reek_v2/model_v2_batchSize_16_hidSize_1024_dropPer_0.2_wordDim_2048.h5
,,0.664579161889261,SavedModel_reek_v2/model_v2_batchSize_64_hidSize_128_dropPer_0.2_wordDim_1024.h5
,,0.1388888888888889,SavedModel_reek_v2/model_v2_batchSize_16_hidSize_512_dropPer_0.4_wordDim_1024.h5
,,0.6564191994403821,SavedModel_reek_v2/model_v2_batchSize_64_hidSize_256_dropPer_0.2_wordDim_1024.h5
,,0.6906165147618178,SavedModel_reek_v2/model_v2_batchSize_32_hidSize_512_dropPer_0.4_wordDim_2048.h5
,,0.6000939572638915,SavedModel_reek_v2/model_v2_batchSize_16_hidSize_256_dropPer_0.2_wordDim_1024.h5
,,0.7044876175520595,SavedModel_reek_v2/model_v2_batchSize_32_hidSize_256_dropPer_0.2_wordDim_2048.h5
,,0.6564191994403821,SavedModel_reek_v2/model_v2_batchSize_64_hidSize_512_dropPer_0.4_wordDim_1024.h5
